Idade,Gênero,Série,Média de Notas,Frequência,Participação em Atividades Extracurriculares,Motivo da Evasão,Renda Familiar,Localização
14,Masculino,2,8.1,62.7%,Não,0,1631,Rural
17,Feminino,1,6.6,82.3%,Sim,0,4555,Urbana
18,Feminino,1,6.4,79.8%,Não,Problemas de Saúde,2178,Urbana
17,Feminino,1,6.1,98.1%,Sim,Falta de Apoio Familiar,1327,Rural
17,Feminino,3,6.5,53.4%,Sim,Problemas Familiares,4271,Urbana
14,Masculino,3,9.9,57.6%,Não,0,1718,Rural
18,Feminino,2,5.1,84.0%,Sim,Problemas Financeiros,2020,Rural
15,Masculino,3,9.2,77.4%,Sim,Problemas Financeiros,2595,Urbana
14,Masculino,2,9.3,87.5%,Sim,0,3363,Rural
19,Masculino,3,9.8,87.2%,Não,0,4499,Urbana
14,Masculino,1,9.9,70.7%,Não,0,2840,Urbana
15,Masculino,2,9.7,92.8%,Sim,0,2464,Urbana
15,Masculino,2,9.5,86.0%,Sim,0,3402,Rural
17,Feminino,2,6.8,80.0%,Não,0,1151,Urbana
16,Masculino,1,7.2,55.3%,Sim,0,2309,Rural
16,Masculino,3,8.9,69.7%,Sim,Problemas Familiares,3375,Urbana
14,Masculino,1,8.7,54.3%,Não,0,1326,Urbana
19,Feminino,1,8.4,66.4%,Sim,Falta de Apoio Familiar,1226,Rural
16,Masculino,3,5.7,65.6%,Não,Problemas Familiares,2993,Urbana
19,Feminino,3,8.0,90.1%,Sim,Falta de Apoio Escolar,817,Urbana
19,Feminino,2,7.3,81.5%,Não,Problemas Familiares,2162,Rural
19,Masculino,2,7.9,88.9%,Não,0,4099,Rural
19,Feminino,3,9.6,58.6%,Sim,Falta de Apoio Escolar,3698,Urbana
19,Masculino,1,6.3,63.1%,Sim,Outros,4601,Urbana
14,Feminino,1,7.3,98.2%,Não,0,2988,Rural
15,Masculino,1,9.6,63.9%,Não,0,1729,Rural
19,Feminino,2,7.1,59.7%,Não,0,3815,Rural
19,Masculino,3,9.4,73.7%,Sim,Falta de Interesse,2552,Rural
14,Feminino,2,6.8,81.8%,Não,0,989,Rural
14,Feminino,1,6.5,55.3%,Não,0,1728,Urbana
18,Feminino,3,6.8,58.3%,Sim,0,1103,Urbana
15,Masculino,2,6.6,92.0%,Não,0,4836,Rural
15,Feminino,3,9.4,69.0%,Não,0,854,Rural
17,Masculino,1,8.0,72.7%,Sim,Falta de Interesse,4362,Urbana
14,Feminino,2,7.2,88.4%,Não,0,3674,Rural
19,Masculino,3,9.0,82.0%,Sim,Falta de Apoio Escolar,941,Rural
16,Feminino,3,5.5,95.7%,Sim,Problemas Financeiros,3849,Rural
17,Masculino,1,7.8,95.5%,Não,Falta de Interesse,1266,Urbana
15,Masculino,1,7.3,57.0%,Não,0,2488,Rural
16,Feminino,1,6.6,85.4%,Sim,0,1849,Urbana
17,Masculino,3,6.8,89.8%,Não,0,3558,Rural
14,Feminino,1,8.4,62.4%,Não,0,1585,Urbana
15,Masculino,2,7.1,64.2%,Não,0,1345,Urbana
19,Masculino,1,7.6,82.4%,Não,0,2112,Rural
17,Feminino,2,5.7,86.3%,Não,Falta de Apoio Familiar,3810,Rural
14,Masculino,3,6.5,97.3%,Sim,0,3121,Rural
14,Masculino,1,5.5,85.7%,Sim,Problemas Financeiros,2900,Urbana
19,Masculino,1,5.4,75.5%,Não,0,1468,Urbana
18,Feminino,1,8.8,70.8%,Não,0,3809,Rural
15,Feminino,2,7.9,90.8%,Sim,0,1030,Rural
14,Feminino,1,8.6,64.5%,Sim,Outros,4185,Urbana
17,Masculino,3,9.6,72.4%,Não,0,4587,Rural
19,Feminino,3,5.4,50.0%,Sim,0,3896,Rural
15,Feminino,3,5.1,85.6%,Não,Falta de Interesse,1565,Urbana
17,Feminino,3,8.2,89.8%,Não,Problemas Financeiros,3486,Rural
18,Feminino,2,5.5,69.3%,Não,0,3830,Urbana
18,Feminino,3,9.7,62.3%,Sim,Falta de Interesse,4372,Urbana
17,Masculino,1,6.8,51.2%,Não,0,1444,Urbana
19,Masculino,2,9.4,50.2%,Sim,Falta de Apoio Escolar,1910,Urbana
14,Feminino,3,7.1,96.4%,Sim,Problemas de Saúde,3993,Rural
14,Masculino,2,6.6,95.2%,Sim,0,3050,Urbana
14,Masculino,1,9.5,55.1%,Sim,Falta de Apoio Escolar,1316,Urbana
15,Masculino,1,7.4,91.6%,Não,0,2073,Urbana
15,Feminino,2,6.3,71.3%,Não,Falta de Interesse,2396,Rural
15,Masculino,3,10.0,89.7%,Sim,0,873,Rural
16,Masculino,2,8.6,72.1%,Sim,0,2591,Urbana
15,Masculino,2,8.1,70.1%,Não,0,2560,Rural
14,Masculino,3,9.4,73.7%,Não,Problemas de Saúde,4879,Urbana
14,Feminino,2,5.5,91.4%,Não,0,1663,Urbana
17,Masculino,2,9.6,52.5%,Sim,0,4062,Urbana
17,Feminino,1,8.1,97.9%,Não,0,4073,Rural
16,Feminino,3,9.0,93.1%,Sim,Falta de Apoio Familiar,2906,Rural
17,Masculino,2,5.9,59.6%,Não,0,4806,Urbana
19,Masculino,1,9.9,70.7%,Sim,0,2983,Rural
14,Feminino,1,5.2,60.4%,Não,Falta de Apoio Familiar,4622,Urbana
19,Masculino,1,6.1,94.7%,Não,0,2095,Rural
14,Masculino,2,6.7,85.9%,Sim,Outros,2024,Urbana
15,Masculino,2,5.1,87.4%,Não,0,3355,Urbana
14,Feminino,3,8.6,94.1%,Sim,0,4332,Urbana
17,Masculino,3,9.4,89.1%,Sim,0,2154,Rural
15,Feminino,2,8.1,98.7%,Sim,Falta de Apoio Familiar,1689,Rural
14,Feminino,1,7.5,59.9%,Sim,Problemas de Saúde,1926,Urbana
18,Feminino,3,9.5,91.1%,Não,0,3232,Urbana
17,Masculino,2,8.5,97.4%,Não,Falta de Interesse,4938,Urbana
16,Masculino,1,5.7,94.2%,Não,Falta de Interesse,4733,Rural
16,Masculino,3,8.9,99.2%,Sim,0,2005,Urbana
14,Feminino,3,5.8,55.6%,Sim,Falta de Apoio Escolar,3234,Urbana
